NAME,median_household_income,median_home_value,state,year,mortgage_rate,hpi,real_income,price_to_income_ratio
Alabama,59674,200900,01,2022,5.344038461538461,607.9425,16287.583333333334,3.3666253309649092
Alaska,88121,336900,02,2022,5.344038461538461,607.9425,16287.583333333334,3.823152256556326
Arizona,74568,402800,04,2022,5.344038461538461,607.9425,16287.583333333334,5.401780924793477
Arkansas,55432,179800,05,2022,5.344038461538461,607.9425,16287.583333333334,3.2436137970847163
California,91551,715900,06,2022,5.344038461538461,607.9425,16287.583333333334,7.819685202783148
Colorado,89302,531100,08,2022,5.344038461538461,607.9425,16287.583333333334,5.947235224295088
Connecticut,88429,347200,09,2022,5.344038461538461,607.9425,16287.583333333334,3.926313765846046
Delaware,82174,337200,10,2022,5.344038461538461,607.9425,16287.583333333334,4.103487721177014
District of Columbia,101027,711100,11,2022,5.344038461538461,607.9425,16287.583333333334,7.038712423411563
Florida,69303,354100,12,2022,5.344038461538461,607.9425,16287.583333333334,5.10944692148969
Georgia,72837,297400,13,2022,5.344038461538461,607.9425,16287.583333333334,4.083089638507901
Hawaii,92458,820100,15,2022,5.344038461538461,607.9425,16287.583333333334,8.869973393324537
Idaho,72785,432500,16,2022,5.344038461538461,607.9425,16287.583333333334,5.942158411760665
Illinois,76708,251600,17,2022,5.344038461538461,607.9425,16287.583333333334,3.279970798352193
Indiana,66785,208700,18,2022,5.344038461538461,607.9425,16287.583333333334,3.124953208055701
Iowa,69588,194600,19,2022,5.344038461538461,607.9425,16287.583333333334,2.796459159625223
Kansas,68925,206600,20,2022,5.344038461538461,607.9425,16287.583333333334,2.9974610083424014
Kentucky,59341,196300,21,2022,5.344038461538461,607.9425,16287.583333333334,3.307999528150857
Louisiana,55416,209200,22,2022,5.344038461538461,607.9425,16287.583333333334,3.7750830085173956
Maine,69543,290600,23,2022,5.344038461538461,607.9425,16287.583333333334,4.178709575370634
Maryland,94991,398100,24,2022,5.344038461538461,607.9425,16287.583333333334,4.190923350633218
Massachusetts,94488,534700,25,2022,5.344038461538461,607.9425,16287.583333333334,5.658919651172636
Michigan,66986,224400,26,2022,5.344038461538461,607.9425,16287.583333333334,3.3499537216731854
Minnesota,82338,314600,27,2022,5.344038461538461,607.9425,16287.583333333334,3.820836065971969
Mississippi,52719,162500,28,2022,5.344038461538461,607.9425,16287.583333333334,3.0823801665433717
Missouri,64811,221200,29,2022,5.344038461538461,607.9425,16287.583333333334,3.413000879480335
Montana,67631,366400,30,2022,5.344038461538461,607.9425,16287.583333333334,5.417633925270955
Nebraska,69597,232400,31,2022,5.344038461538461,607.9425,16287.583333333334,3.339224391855971
Nevada,72333,434700,32,2022,5.344038461538461,607.9425,16287.583333333334,6.009705113848451
New Hampshire,89992,384700,33,2022,5.344038461538461,607.9425,16287.583333333334,4.2748244288381185
New Jersey,96346,428900,34,2022,5.344038461538461,607.9425,16287.583333333334,4.451663795071928
New Mexico,59726,243100,35,2022,5.344038461538461,607.9425,16287.583333333334,4.070254160667046
New York,79557,400400,36,2022,5.344038461538461,607.9425,16287.583333333334,5.032869514938975
North Carolina,67481,280600,37,2022,5.344038461538461,607.9425,16287.583333333334,4.158207495443162
North Dakota,71970,243100,38,2022,5.344038461538461,607.9425,16287.583333333334,3.377796304015562
Ohio,65720,204100,39,2022,5.344038461538461,607.9425,16287.583333333334,3.1055995130858185
Oklahoma,59673,191700,40,2022,5.344038461538461,607.9425,16287.583333333334,3.2125081695239053
Oregon,75657,475600,41,2022,5.344038461538461,607.9425,16287.583333333334,6.286265646271991
Pennsylvania,71798,245500,42,2022,5.344038461538461,607.9425,16287.583333333334,3.4193153012618738
Rhode Island,81854,383900,44,2022,5.344038461538461,607.9425,16287.583333333334,4.6900579079825055
South Carolina,64115,254600,45,2022,5.344038461538461,607.9425,16287.583333333334,3.9709896280121657
South Dakota,69728,245000,46,2022,5.344038461538461,607.9425,16287.583333333334,3.513653051858651
Tennessee,65254,284800,47,2022,5.344038461538461,607.9425,16287.583333333334,4.364483403316272
Texas,72284,275400,48,2022,5.344038461538461,607.9425,16287.583333333334,3.8099717779868296
Utah,89168,499500,49,2022,5.344038461538461,607.9425,16287.583333333334,5.60178539386327
Vermont,73991,304700,50,2022,5.344038461538461,607.9425,16287.583333333334,4.118068413725994
Virginia,85873,365700,51,2022,5.344038461538461,607.9425,16287.583333333334,4.258614465547961
Washington,91306,569500,53,2022,5.344038461538461,607.9425,16287.583333333334,6.237268087529845
West Virginia,54329,155100,54,2022,5.344038461538461,607.9425,16287.583333333334,2.8548289127353716
Wisconsin,70996,252800,55,2022,5.344038461538461,607.9425,16287.583333333334,3.5607639867034764
Wyoming,70042,292300,56,2022,5.344038461538461,607.9425,16287.583333333334,4.1732103594985865
Puerto Rico,24112,122200,72,2022,5.344038461538461,607.9425,16287.583333333334,5.068015925680159
